被试ID,标记,时间
CDQ,s,00:00:14.064
CDQ,e,00:02:17.718
CDQ,s,00:02:47.213
CDQ,e,00:05:47.031
CDQ,s,00:06:17.147
CDQ,e,00:09:16.987
CDQ,s,00:09:51.735
CDQ,e,00:12:57.484
CQY,start,00:00:02.563
CQY,end,00:02:02.7
CQY,start,00:02:39.588
CQY,end,00:05:40.139
CQY,start,00:06:54.588
CQY,end,00:09:55.05
CQY,start,00:10:53.321
CQY,end,00:13:54.683
HX,jingxi,00:01:21.232
HX,jingxi,00:03:22.301
HX,long,00:06:21.937
HX,long,00:09:22.947
HX,short,00:10:28.803
HX,short,00:13:30.203
HX,manhua,00:14:25.222
HX,manhua,00:17:26.152
JF,JINGXI,00:00:51.04
JF,JINGXI,00:02:48.662
JF,LONG,00:04:49.426
JF,LONG,00:07:50.679
JF,SHORT,00:08:36.999
JF,SHORT,00:11:37.573
JF,MANHUA,00:13:11.381
JF,MANHUA,00:16:00.578
JKH,start,00:00:20.096
JKH,end,00:02:31.894
JKH,start,00:02:43.139
JKH,end,00:05:47.213
JKH,start,00:06:45.219
JKH,end,00:09:43.912
JKH,start,00:10:47.445
JKH,end,00:13:51.254
LJC,s,00:00:05.936
LJC,e,00:02:06.463
LJC,s,00:02:35.751
LJC,e,00:05:36.642
LJC,s,00:06:10.52
LJC,e,00:09:16.301
LJC,s,00:09:54.208
LJC,e,00:12:56.466
LLX,start,00:00:33.443
LLX,end,00:02:36.753
LLX,start,00:03:46.55
LLX,end,00:06:47.91
LLX,start,00:08:15.74
LLX,end,00:11:16.47
LLX,start,00:13:11.703
LLX,end,00:16:10.954
LR,start,00:00:09.765
LR,end,00:02:13.378
LR,start,00:02:47.999
LR,end,00:05:50.028
LR,start,00:07:27.084
LR,end,00:10:27.892
LR,start,00:11:36.459
LR,end,00:14:37.536
LXY,jingxi,00:00:39.154
LXY,end,00:02:42.282
LXY,short,00:03:14.175
LXY,end,00:06:20.398
LXY,manhua,00:07:34.498
LXY,end,00:10:40.758
LXY,long,00:11:43.994
LXY,end,00:14:51.156
LZX,start,00:00:02.582
LZX,end,00:02:03.721
LZX,start,00:02:46.33
LZX,end,00:05:47.977
LZX,start,00:07:05.327
LZX,end,00:10:09.419
LZX,start,00:11:18.715
LZX,end,00:14:21.224
MPX,jingxi,00:00:02.684
MPX,end,00:02:13.042
MPX,jingxi,00:02:40.276
MPX,end,00:06:17.473
MPX,manhua,00:07:12.813
MPX,end,00:10:26.611
MPX,chang,00:11:15.338
MPX,end,00:15:43.691
QJY,jingxi,00:00:35.279
QJY,jingxi,00:02:35.721
QJY,long,00:03:56.782
QJY,long,00:06:57.302
QJY,short,00:11:10.686
QJY,short,00:14:10.804
QJY,manhua,00:15:47.83
QJY,manhua,00:18:48.96
QWJ,s,00:00:17.3
QWJ,e,00:02:23.827
QWJ,s,00:02:54.673
QWJ,e,00:05:55.703
QWJ,s,00:06:27.249
QWJ,e,00:10:02.549
QWJ,s,00:10:32.728
QWJ,e,00:13:30.799
RHY,jingxi,00:01:55.816
RHY,jingxi,00:03:58.975
RHY,long,00:05:35.302
RHY,long,00:08:35.99
RHY,manhua,00:10:01.44
RHY,manhua,00:13:02.261
RHY,short,00:14:37.267
RHY,short,00:17:37.961
SYY,s,00:00:04.591
SYY,e,00:02:04.669
SYY,s,00:02:35.172
SYY,e,00:05:42.973
SYY,s,00:06:16.747
SYY,e,00:09:16.348
SYY,s,00:09:51.47
SYY,e,00:13:05.841
WBB,jingxi,00:00:48.543
WBB,jingxi,00:02:49.417
WBB,short,00:03:50.821
WBB,short,00:06:51.52
WBB,long,00:08:05.418
WBB,long,00:11:06.306
WBB,manhua,00:11:39.279
WBB,manhua,00:14:40.17
WH,start,00:00:02.606
WH,end,00:02:01.161
WH,start,00:02:42.131
WH,end,00:06:02.316
WH,start,00:06:32.342
WH,end,00:09:36.852
WH,start,00:10:17.389
WH,end,00:13:41.255
WJF,jingxi,00:01:16.777
WJF,jingxi,00:03:17.031
WJF,long,00:04:38.36
WJF,long,00:07:44.129
WJF,short,00:08:45.298
WJF,short,00:11:47.374
WJF,manhua,00:12:46.299
WJF,manhua,00:15:56.765
WQX,jingxi,00:00:20.843
WQX,end,00:02:26.175
WQX,manhua,00:02:57.486
WQX,end,00:06:07.752
WQX,short,00:07:38.558
WQX,end,00:10:44.872
WQX,jingxi,00:12:26.395
WQX,end,00:15:32.969
WWZ,jingxi,00:00:14.939
WWZ,end,00:02:21.239
WWZ,short,00:02:42.533
WWZ,end,00:05:48.319
WWZ,manhua,00:06:44.216
WWZ,end,00:09:49.757
WWZ,long,00:11:01.939
WWZ,end,00:14:08.367
WYX,jingxi,00:00:33.215
WYX,jingxi,00:02:33.287
WYX,long,00:04:54.995
WYX,long,00:07:55.992
WYX,short,00:09:40.29
WYX,short,00:12:40.987
WYX,manhua,00:14:10.981
WYX,manhua,00:17:12.141
WZM,jingxi,00:00:03.667
WZM,END,00:02:09.903
WZM,SHORT,00:02:29.639
WZM,END,00:06:13.678
WZM,manhua,00:07:40.137
WZM,END,00:11:03.475
WZM,LONG,00:12:20.869
WZM,END,00:16:47.31
XBN,start,00:00:03.868
XBN,end,00:02:07.247
XBN,start,00:02:40.634
XBN,end,00:05:40.63
XBN,start,00:07:27.57
XBN,end,00:10:27.098
XBN,start,00:11:29.086
XBN,end,00:14:29.659
XJC,start,00:00:06.262
XJC,end,00:02:06.626
XJC,start,00:02:51.115
XJC,end,00:05:45.63
XJC,start,00:06:53.523
XJC,end,00:09:54.422
XJC,start,00:11:30.959
XJC,end,00:14:37.172
XLL,start,00:00:07.85
XLL,end,00:02:03.768
XLL,start,00:02:57.737
XLL,end,00:05:56.642
XLL,start,00:07:18.722
XLL,end,00:10:18.027
XLL,start,00:11:44.376
XLL,end,00:14:43.943
YXT,start,00:00:09.91
YXT,end,00:02:08.987
YXT,start,00:02:40.379
YXT,end,00:05:56.621
YXT,start,00:06:27.286
YXT,end,00:09:27.534
YXT,start,00:10:02.325
YXT,end,00:13:06.285
YY,start,00:00:14.431
YY,end,00:02:13.061
YY,start,00:02:48.819
YY,end,00:06:36.17
YY,start,00:07:09.478
YY,end,00:10:46.231
YY,start,00:11:16.353
YY,end,00:14:23.332
YYH,jingxi,00:00:55.825
YYH,end,00:02:58.798
YYH,manhua,00:03:52.805
YYH,end,00:07:04.208
YYH,short,00:08:35.599
YYH,end,00:11:39.366
YYH,long,00:13:07.018
YYH,end,00:16:19.894
YYX,jingxi,00:00:06.749
YYX,end,00:02:11.527
YYX,short,00:02:39.624
YYX,end,00:05:49.612
YYX,manhua,00:07:01.011
YYX,end,00:10:11.275
YYX,long,00:12:01.771
YYX,end,00:15:18.763
ZD,start,00:00:12.509
ZD,end,00:02:14.697
ZD,start,00:02:40.091
ZD,end,00:05:43.434
ZD,start,00:06:12.588
ZD,end,00:09:13.931
ZD,start,00:09:43.379
ZD,end,00:13:03.656
ZHR,jingxi,00:00:11.15
ZHR,end,00:02:12.47
ZHR,long,00:03:19.15
ZHR,end,00:06:28.284
ZHR,manhua,00:07:32.71
ZHR,end,00:10:44.604
ZHR,short,00:11:29.994
ZHR,end,00:14:36.299
ZJM,jingxi,00:00:14.884
ZJM,end,00:02:20.977
ZJM,short,00:03:51.3
ZJM,end,00:06:55.421
ZJM,long,00:08:10.453
ZJM,end,00:11:18.905
ZJM,manhua,00:12:26.604
ZJM,end,00:15:37.351
ZLL,start,00:00:18.563
ZLL,end,00:02:20.355
ZLL,start,00:02:48.839
ZLL,end,00:06:00.217
ZLL,start,00:07:46.493
ZLL,end,00:10:45.08
ZLL,start,00:12:41.285
ZLL,end,00:15:41.877
ZYH,jingxi,00:00:37.474
ZYH,jingxi,00:02:38.133
ZYH,long,00:05:11.526
ZYH,long,00:08:12.453
ZYH,short,00:09:35.098
ZYH,short,00:12:36.098
ZYH,manhua,00:13:41.455
ZYH,manhua,00:16:41.691
ZZY,jingxi,00:03:03.22
ZZY,jingxi,00:05:04.11
ZZY,long,00:07:36.465
ZZY,long,00:10:38.269
ZZY,manhua,00:12:00.42
ZZY,manhua,00:15:04.739
ZZY,short,00:18:30.096
ZZY,short,00:21:31.57